id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
141,松ゆき,まつゆき,三豊市,一般,,10:00〜15:00（麺売切れ次第終了）,火曜日・第2水曜日,,,あり,matsuyuki,34.223206,133.690565
142,はすい亭,はすいてい,三豊市,セルフ,,10:30〜14:30,月曜日,,,あり,hasuitei,34.220555,133.677125
143,本場かなくま餅 福田,ほんばかなくまもち ふくだ,観音寺市,一般,,10:00〜14:00,月曜日,,,あり,kanakumamochi-fukuda,34.139080,133.672774
144,かなくま餅 11号線,かなくまもち じゅういちごうせん,観音寺市,一般,,8:00〜15:00,日曜日・第1・3木曜日,,,あり,kanakumamochi-route11,34.124376,133.686094
145,西端手打 上戸,にしはしてうち じょうと,観音寺市,セルフ,,6:00〜14:00（麺売切れ次第終了）,木曜日（不定休あり）,,,あり,joto,34.048000,133.618900
146,つるや,つるや,観音寺市,一般,,10:00〜20:00,火曜日,,,あり,tsuruya,34.126974,133.667123
147,手打ちうどん 大喜多,てうちうどん おおきた,観音寺市,一般,,9:30〜14:30,土曜日・日曜日,,,あり,okita,34.115837,133.689782
148,かじまや,かじまや,観音寺市,一般,,11:00〜16:00,月曜日,,,あり,kajimaya,34.140017,133.651373
149,うどん好き,うどんずき,観音寺市,一般,,11:00〜14:00（土日は5:30〜8:30も営業）,火曜日,,,あり,udonzuki,34.114634,133.678622
150,本格手打うどん おか泉,ほんかくてうちうどん おかせん,宇多津町,一般,,11:00〜20:00,月曜日・火曜日,,,あり,okasen,34.309290,133.820996
151,うぶしな,うぶしな,宇多津町,セルフ,,11:00〜15:00,水曜日,,,あり,ubushina,34.307853,133.821049
152,さぬきうどん 塩がま屋,さぬきうどん しおがまや,宇多津町,一般,,11:00〜20:30,水曜日,,,あり,shiogamaya,34.306690,133.815683
153,讃岐うどん むぎ,さぬきうどん むぎ,宇多津町,セルフ,,10:00〜14:30,火曜日・金曜日,,,あり,sanukiudon-mugi,34.297134,133.834514
154,長楽,ちょうらく,宇多津町,一般,,11:00〜14:00頃（麺売切れ次第終了）,水曜日・木曜日,,,あり,choraku,34.313817,133.836614
